"","Notes","State","State.Code","Year","Year.Code","Deaths","Population","Crude.Rate","region"
"1",NA,"Alabama",1,1999,1999,169,4430141,"3.8","AL"
"2",NA,"Alaska",2,1999,1999,46,624779,"7.4","AK"
"3",NA,"Arizona",4,1999,1999,511,5023823,"10.2","AZ"
"4",NA,"Arkansas",5,1999,1999,113,2651860,"4.3","AR"
"5",NA,"California",6,1999,1999,2662,33499204,"7.9","CA"
"6",NA,"Colorado",8,1999,1999,349,4226018,"8.3","CO"
"7",NA,"Connecticut",9,1999,1999,310,3386401,"9.2","CT"
"8",NA,"Delaware",10,1999,1999,50,774990,"6.5","DE"
"9",NA,"Florida",12,1999,1999,997,15759421,"6.3","FL"
"10",NA,"Georgia",13,1999,1999,283,8045965,"3.5","GA"
"11",NA,"Hawaii",15,1999,1999,80,1210300,"6.6","HI"
"12",NA,"Idaho",16,1999,1999,64,1275674,"5","ID"
"13",NA,"Illinois",17,1999,1999,825,12359020,"6.7","IL"
"14",NA,"Indiana",18,1999,1999,191,6044969,"3.2","IN"
"15",NA,"Iowa",19,1999,1999,53,2917634,"1.8","IA"
"16",NA,"Kansas",20,1999,1999,89,2678338,"3.3","KS"
"17",NA,"Kentucky",21,1999,1999,197,4018053,"4.9","KY"
"18",NA,"Louisiana",22,1999,1999,188,4460811,"4.2","LA"
"19",NA,"Maine",23,1999,1999,67,1266808,"5.3","ME"
"20",NA,"Maryland",24,1999,1999,629,5254509,"12","MD"
"21",NA,"Massachusetts",25,1999,1999,488,6317345,"7.7","MA"
"22",NA,"Michigan",26,1999,1999,460,9897116,"4.6","MI"
"23",NA,"Minnesota",27,1999,1999,136,4873481,"2.8","MN"
"24",NA,"Mississippi",28,1999,1999,87,2828408,"3.1","MS"
"25",NA,"Missouri",29,1999,1999,276,5561948,"5","MO"
"26",NA,"Montana",30,1999,1999,41,897507,"4.6","MT"
"27",NA,"Nebraska",31,1999,1999,39,1704764,"2.3","NE"
"28",NA,"Nevada",32,1999,1999,227,1934718,"11.7","NV"
"29",NA,"New Hampshire",33,1999,1999,54,1222014,"4.4","NH"
"30",NA,"New Jersey",34,1999,1999,557,8359592,"6.7","NJ"
"31",NA,"New Mexico",35,1999,1999,266,1808082,"14.7","NM"
"32",NA,"New York",36,1999,1999,959,18882725,"5.1","NY"
"33",NA,"North Carolina",37,1999,1999,366,7949361,"4.6","NC"
"34",NA,"North Dakota",38,1999,1999,12,644259,NA,"ND"
"35",NA,"Ohio",39,1999,1999,467,11335454,"4.1","OH"
"36",NA,"Oklahoma",40,1999,1999,178,3437147,"5.2","OK"
"37",NA,"Oregon",41,1999,1999,210,3393941,"6.2","OR"
"38",NA,"Pennsylvania",42,1999,1999,990,12263805,"8.1","PA"
"39",NA,"Rhode Island",44,1999,1999,58,1040402,"5.6","RI"
"40",NA,"South Carolina",45,1999,1999,147,3974682,"3.7","SC"
"41",NA,"South Dakota",46,1999,1999,17,750412,NA,"SD"
"42",NA,"Tennessee",47,1999,1999,344,5638706,"6.1","TN"
"43",NA,"Texas",48,1999,1999,1087,20558220,"5.3","TX"
"44",NA,"Utah",49,1999,1999,205,2203482,"9.3","UT"
"45",NA,"Vermont",50,1999,1999,29,604683,"4.8","VT"
"46",NA,"Virginia",51,1999,1999,366,7000174,"5.2","VA"
"47",NA,"Washington",53,1999,1999,555,5842564,"9.5","WA"
"48",NA,"West Virginia",54,1999,1999,75,1811799,"4.1","WV"
"49",NA,"Wisconsin",55,1999,1999,212,5332666,"4","WI"
"50",NA,"Wyoming",56,1999,1999,20,491780,"4.1","WY"
"51",NA,"Alabama",1,2000,2000,197,4447100,"4.4","AL"
"52",NA,"Alaska",2,2000,2000,48,626932,"7.7","AK"
"53",NA,"Arizona",4,2000,2000,522,5130632,"10.2","AZ"
"54",NA,"Arkansas",5,2000,2000,140,2673400,"5.2","AR"
"55",NA,"California",6,2000,2000,1941,33871648,"5.7","CA"
"56",NA,"Colorado",8,2000,2000,352,4301261,"8.2","CO"
"57",NA,"Connecticut",9,2000,2000,320,3405565,"9.4","CT"
"58",NA,"Delaware",10,2000,2000,55,783600,"7","DE"
"59",NA,"Florida",12,2000,2000,1159,15982378,"7.3","FL"
"60",NA,"Georgia",13,2000,2000,364,8186453,"4.4","GA"
"61",NA,"Hawaii",15,2000,2000,63,1211537,"5.2","HI"
"62",NA,"Idaho",16,2000,2000,64,1293953,"4.9","ID"
"63",NA,"Illinois",17,2000,2000,868,12419293,"7","IL"
"64",NA,"Indiana",18,2000,2000,214,6080485,"3.5","IN"
"65",NA,"Iowa",19,2000,2000,73,2926324,"2.5","IA"
"66",NA,"Kansas",20,2000,2000,103,2688418,"3.8","KS"
"67",NA,"Kentucky",21,2000,2000,241,4041769,"6","KY"
"68",NA,"Louisiana",22,2000,2000,248,4468976,"5.5","LA"
"69",NA,"Maine",23,2000,2000,61,1274923,"4.8","ME"
"70",NA,"Maryland",24,2000,2000,623,5296486,"11.8","MD"
"71",NA,"Massachusetts",25,2000,2000,463,6349097,"7.3","MA"
"72",NA,"Michigan",26,2000,2000,561,9938444,"5.6","MI"
"73",NA,"Minnesota",27,2000,2000,130,4919479,"2.6","MN"
"74",NA,"Mississippi",28,2000,2000,114,2844658,"4","MS"
"75",NA,"Missouri",29,2000,2000,303,5595211,"5.4","MO"
"76",NA,"Montana",30,2000,2000,41,902195,"4.5","MT"
"77",NA,"Nebraska",31,2000,2000,46,1711263,"2.7","NE"
"78",NA,"Nevada",32,2000,2000,273,1998257,"13.7","NV"
"79",NA,"New Hampshire",33,2000,2000,45,1235786,"3.6","NH"
"80",NA,"New Jersey",34,2000,2000,643,8414350,"7.6","NJ"
"81",NA,"New Mexico",35,2000,2000,271,1819046,"14.9","NM"
